#{"t_start": 1760363941.1958025, "env_id": "LunarLander-v3"}
r,l,t
-75.396395,88,94.535066
-113.379385,60,94.546741
-111.794556,109,94.565842
-113.918664,86,94.579343
-317.22015,89,94.598479
-57.860407,66,94.609128
-141.408853,59,94.618901
-105.846713,77,94.630622
-198.757262,136,94.654188
-215.398185,81,94.666716
-130.18159,117,94.685731
-173.476449,80,94.720011
-128.405969,133,94.746183
-160.737357,76,94.758535
-343.084229,107,94.782875
-112.584247,91,94.797924
-79.247078,88,94.820473
-220.521569,70,94.840002
-308.197194,78,94.860738
-265.679593,159,94.885371
-289.734535,122,94.908935
-104.414046,102,94.926403
-255.91628,96,94.941271
-297.994751,104,94.957193
-144.226025,69,94.97207
-154.002686,75,94.984726
-224.809162,73,94.996322
-72.665286,124,95.015755
-157.461456,125,95.037779
-169.784666,78,95.050838
-168.209598,68,95.061726
-167.446156,116,95.08003
-197.864239,84,95.098765
-289.09068,91,95.112428
-83.342609,150,95.137367
-195.375411,92,95.152219
-26.104404,113,95.173213
-32.139039,141,95.194532
-409.709842,95,95.208965
-208.431702,66,95.2194
-223.738784,66,95.235282
-327.663709,80,95.247849
-208.017471,115,95.266608
-103.234667,77,95.278693
-215.200419,152,95.305216
-270.703442,96,95.320357
-97.772932,98,95.335571
-393.269827,106,95.354146
-134.651469,72,95.369889
-121.088938,99,95.385197
-150.903208,128,95.404432
-232.296205,117,95.423009
-372.076515,89,95.440594
-92.647467,89,95.454625
-80.13096,71,95.466279
-218.2447,122,95.48527
-117.628277,77,95.501756
-100.665581,57,95.51158
-90.698859,61,95.521564
-130.045514,94,95.53623
-226.776222,69,95.551509
-443.92926,100,95.567572
-213.293374,125,95.586795
-265.067688,104,95.606664
-360.892927,89,95.624245
-64.159256,71,95.635803
-333.291298,111,95.653916
-145.181756,80,95.66635
-446.732716,100,95.685059
-423.305681,127,95.704511
-89.759676,66,95.714917
-256.57688,71,95.726194
-332.165114,92,95.745714
-98.757753,65,95.755972
-87.58822,68,95.767452
-84.011282,93,95.781854
-130.978016,92,95.801529
-109.127205,93,95.81729
-289.907103,115,95.835524
-129.879115,125,95.856725
-74.072715,86,95.884008
-229.543671,78,95.905134
-94.196428,81,95.919479
-63.991092,65,95.930001
-354.040619,107,95.950017
-265.797231,82,95.963953
-210.673823,75,95.976464
-113.51573,78,95.988729
-180.354596,80,96.005861
-324.491011,76,96.018138
-65.290548,92,96.03511
-94.205842,79,96.047825
-101.672631,60,96.060878
-274.832348,108,96.079045
-463.666382,119,96.097927
-369.193735,89,96.111447
-147.757392,98,96.133841
-251.713579,107,96.152447
-96.450577,68,96.163102
-391.516423,96,96.178397
-304.107444,77,96.195235
-161.09652,77,96.208036
-97.667497,89,96.221823
-76.859366,64,96.232389
-130.023521,65,96.246825
-72.073892,94,96.262543
-99.016864,72,96.273678
-117.528078,73,96.285056
-108.290632,109,96.306314
-583.96544,69,96.363343
-668.858928,76,96.399057
-537.695427,64,96.429136
-502.606755,66,96.461331
-440.788801,93,96.505052
-55.858989,66,96.53443
-334.225154,84,96.547966
-153.477344,107,96.564739
-104.81503,81,96.580447
-167.954795,67,96.592445
-116.088959,79,96.606203
-332.878973,130,96.626605
-140.557734,88,96.643653
-156.460874,100,96.658886
-138.46721,102,96.675294
-222.370944,88,96.688974
-162.646542,123,96.712105
-178.966905,142,96.73397
-490.322619,104,96.752614
-94.088184,69,96.763979
-207.228368,84,96.78258
-98.649675,104,96.798513
-138.157869,105,96.814532
-392.400348,126,96.834144
-97.458216,84,96.850712
4.452453,90,96.865906
-157.475562,77,96.877795
-120.459953,93,96.892322
-121.329819,87,96.916914
-397.100373,109,96.948282
-212.544948,107,96.967251
-101.133328,104,96.98365
-106.764093,69,96.998103
-99.101177,84,97.011372
-123.368502,91,97.025399
-80.935012,121,97.044348
-210.955118,84,97.064802
-63.50912,74,97.079219
-235.503704,91,97.095688
-134.514012,80,97.113157
-159.3488,114,97.135726
-378.020709,133,97.156951
-111.972052,70,97.167876
-76.815928,69,97.178644
-170.396243,97,97.197956
-81.033737,74,97.209875
-72.272947,116,97.227576
